dgp,seed,epsilon_used,ate_lower,ate_upper,ate_width,true_ate,coverage_ate,cate_lower_z0,cate_upper_z0,cate_lower_z1,cate_upper_z1,coverage_cate_z0,coverage_cate_z1,lp_status
Easy,1,0.05,0.17392651762986666,0.29990306893957847,0.1259765513097118,0.22817587269323591,True,0.17170360605311574,0.30253515160402117,0.17614942920661758,0.29727098627513576,True,True,optimal
Easy,2,0.05,0.15619884186686356,0.26448404370383316,0.1082852018369696,0.22817587269323591,True,0.15989321735461404,0.2618494334549644,0.15250446637911308,0.26711865395270185,True,True,optimal
Easy,3,0.05,0.17772583655642876,0.2751110607057726,0.09738522414934386,0.22817587269323591,True,0.151002004008016,0.2785710261524075,0.20444966910484152,0.2716510952591378,True,True,optimal
Easy,4,0.05,0.1791551406682284,0.2899891044367522,0.11083396376852378,0.22817587269323591,True,0.1979386057384659,0.30771805227336196,0.16037167559799093,0.27226015660014247,True,True,optimal
Easy,5,0.05,0.2075423496216739,0.27844651593899217,0.07090416631731827,0.22817587269323591,True,0.20279991336624414,0.25245760378079224,0.21228478587710364,0.3044354280971921,True,True,optimal
Easy,6,0.05,0.1780874113717188,0.2781868613051219,0.10009944993340308,0.22817587269323591,True,0.1854808887755427,0.27602702252670147,0.1706939339678949,0.2803467000835423,True,True,optimal
Easy,7,0.05,0.177829136655606,0.28613982916813036,0.10831069251252434,0.22817587269323591,True,0.18829036724467585,0.263230394512826,0.16736790606653618,0.30904926382343473,True,True,optimal
Easy,8,0.05,0.19851282439337958,0.27960106382978733,0.08108823943640775,0.22817587269323591,True,0.1967186373809794,0.2836068895643364,0.20030701140577978,0.2755952380952382,True,True,optimal
Easy,9,0.05,0.2056830328765059,0.2900930034342645,0.08440997055775856,0.22817587269323591,True,0.19891470032315095,0.3007978274803495,0.21245136542986087,0.27938817938817945,True,True,optimal
Easy,10,0.05,0.14582745134611447,0.2792123891059689,0.13338493775985444,0.22817587269323591,True,0.13893952844776203,0.28341803193925347,0.1527153742444669,0.27500674627268434,True,True,optimal
Easy,11,0.05,0.18550041242873083,0.29873380915891595,0.11323339673018512,0.22817587269323591,True,0.179334158190795,0.3101945003353454,0.19166666666666665,0.2872731179824865,True,True,optimal
Easy,12,0.05,0.18842575566597725,0.30373902450547463,0.11531326883949738,0.22817587269323591,True,0.1908439198895805,0.30572102089849945,0.186007591442374,0.3017570281124498,True,True,optimal
Easy,13,0.05,0.17040119522317876,0.26854306388303995,0.09814186865986119,0.22817587269323591,True,0.17926917802694198,0.266380002293315,0.16153321241941554,0.2707061254727649,True,True,optimal
Easy,14,0.05,0.19324374050039378,0.24034751116582947,0.047103770665435696,0.22817587269323591,True,0.20753590036853464,0.2484304932735426,0.17895158063225292,0.23226452905811634,True,True,optimal
Easy,15,0.05,0.19614442228403367,0.28096078364770827,0.0848163613636746,0.22817587269323591,True,0.19033609625562764,0.29189660769355624,0.2019527483124397,0.2700249596018603,True,True,optimal
Easy,16,0.05,0.17374701982255403,0.2679195057319068,0.09417248590935279,0.22817587269323591,True,0.17545470844871203,0.2506085674891837,0.17203933119639603,0.28523044397463,True,True,optimal
Easy,17,0.05,,,,0.22817587269323591,False,,,,,False,False,infeasible
Easy,18,0.05,0.19147788733387106,0.27536612670550775,0.0838882393716367,0.22817587269323591,True,0.21204821164253207,0.2550018406928755,0.17090756302521004,0.29573041271814,True,True,optimal
Easy,19,0.05,0.1729901124754526,0.27828109721098837,0.10529098473553578,0.22817587269323591,True,0.1591337678510779,0.2738036267138435,0.18684645709982728,0.2827585677081333,True,True,optimal
Easy,20,0.05,0.1611548564956795,0.2694716530776195,0.10831679658193999,0.22817587269323591,True,0.1565271144941941,0.26420192162982103,0.16578259849716492,0.27474138452541796,True,True,optimal
Easy,21,0.05,0.18363439429410044,0.2654006317962457,0.08176623750214523,0.22817587269323591,True,0.20334509045397653,0.3031695484903271,0.16392369813422436,0.22763171510216423,True,False,optimal
Easy,22,0.05,0.20637673650483807,0.26337344330585866,0.05699670680102059,0.22817587269323591,True,0.21652951467634285,0.2909387358634566,0.19622395833333328,0.23580815074826078,True,True,optimal
Easy,23,0.05,0.17181219776461237,0.28510004641926884,0.11328784865465646,0.22817587269323591,True,0.15168042201990972,0.30231318807663293,0.19194397350931502,0.26788690476190474,True,True,optimal
Easy,24,0.05,0.1881057282869103,0.29015473288977567,0.10204900460286537,0.22817587269323591,True,0.18514730178767003,0.3071492926193781,0.19106415478615058,0.27316017316017327,True,True,optimal
Easy,25,0.05,0.1927920783108384,0.27948745933827573,0.08669538102743735,0.22817587269323591,True,0.21209102862035212,0.2740088823697185,0.17349312800132466,0.284966036306833,True,True,optimal
Easy,26,0.05,0.17893564771146175,0.3143673122305024,0.13543166451904065,0.22817587269323591,True,0.17853834972788418,0.3407525523325912,0.17933294569503933,0.2879820721284136,True,True,optimal
Easy,27,0.05,0.18393251229012264,0.2417215301125354,0.05778901782241275,0.22817587269323591,True,0.21145054056542223,0.25952923660196936,0.15641448401482305,0.22391382362310142,True,False,optimal
Easy,28,0.05,0.15985054279968253,0.25664412998987796,0.09679358719019543,0.22817587269323591,True,0.15738244983527994,0.2352483767112733,0.16231863576408512,0.27803988326848256,True,True,optimal
Easy,29,0.05,0.1763274641947813,0.2718257768467256,0.0954983126519443,0.22817587269323591,True,0.18146148824025854,0.25813008130081305,0.17119344014930404,0.2855214723926381,True,True,optimal
Easy,30,0.05,0.17792445277424968,0.27762838220860975,0.09970392943436007,0.22817587269323591,True,0.15184085485428422,0.2869076305220884,0.20400805069421513,0.26834913389513115,True,True,optimal
Easy,31,0.05,0.1869118339362953,0.29330563349143224,0.10639379955513695,0.22817587269323591,True,0.1617837868331483,0.2827786194874803,0.21203988103944227,0.30383264749538424,True,True,optimal
Easy,32,0.05,0.1833206600055271,0.29162485609084143,0.10830419608531433,0.22817587269323591,True,0.18044340334438758,0.2907893947213654,0.18619791666666663,0.2924603174603175,True,True,optimal
Easy,33,0.05,0.16652156578878197,0.2781148609052376,0.11159329511645566,0.22817587269323591,True,0.17157179893087382,0.26115559066049143,0.1614713326466901,0.29507413114998376,True,True,optimal
Easy,34,0.05,0.17400113135031142,0.26504181613844047,0.09104068478812904,0.22817587269323591,True,0.17812419919706146,0.246056338028169,0.16987806350356138,0.2840272942487119,True,True,optimal
Easy,35,0.05,0.171338747234337,0.2814472488822789,0.11010850164794189,0.22817587269323591,True,0.16034128541641102,0.26371117517697995,0.182336209052263,0.2991833225875779,True,True,optimal
Easy,36,0.05,0.1791830326454079,0.2746804749602596,0.09549744231485169,0.22817587269323591,True,0.17153396155730372,0.2809357406328868,0.1868321037335121,0.2684252092876324,True,True,optimal
Easy,37,0.05,0.17879096275864126,0.28645527539360915,0.1076643126349679,0.22817587269323591,True,0.1846171222046532,0.28779734939853546,0.1729648033126293,0.28511320138868285,True,True,optimal
Easy,38,0.05,0.17686548076330766,0.2518676503988191,0.07500216963551143,0.22817587269323591,True,0.16560022536118146,0.25273901261176773,0.18813073616543385,0.2509962881858704,True,True,optimal
Easy,39,0.05,0.1689944851202932,0.2929336467635797,0.1239391616432865,0.22817587269323591,True,0.1751775764535748,0.3056259314456036,0.1628113937870116,0.2802413620815558,True,True,optimal
Easy,40,0.05,0.17100275933930514,0.295049970791695,0.12404721145238984,0.22817587269323591,True,0.13679939112943929,0.28700828742669743,0.205206127549171,0.30309165415669254,True,True,optimal
Easy,41,0.05,0.2113948913061151,0.2989960461645567,0.08760115485844161,0.22817587269323591,True,0.21333333333333326,0.30929501571621015,0.20945644927889695,0.2886970766129033,True,True,optimal
Easy,42,0.05,0.19451665095982823,0.2902723114347232,0.09575566047489498,0.22817587269323591,True,0.19362967859208458,0.3088446337439085,0.19540362332757188,0.27169998912553794,True,True,optimal
Easy,43,0.05,0.14726487546697148,0.2725636389960664,0.12529876352909491,0.22817587269323591,True,0.1446206651674754,0.2668073136427567,0.14990908576646755,0.27831996434937606,True,True,optimal
Easy,44,0.05,0.15089795470230244,0.26502897433907696,0.11413101963677452,0.22817587269323591,True,0.16189691950561502,0.26692290884532116,0.13989898989898986,0.26313503983283276,True,True,optimal
Easy,45,0.05,0.17130428583278207,0.26333507414305457,0.0920307883102725,0.22817587269323591,True,0.1911334819155418,0.26526590407385114,0.15147508975002233,0.26140424421225805,True,True,optimal
Easy,46,0.05,0.19148001013407567,0.26713232755898586,0.07565231742491019,0.22817587269323591,True,0.19822804528637794,0.2765231002519138,0.1847319749817734,0.2577415548660579,True,True,optimal
Easy,47,0.05,0.17421410947408,0.2836005751942941,0.1093864657202141,0.22817587269323591,True,0.14488752556237205,0.2962113232892187,0.20354069338578795,0.27098982709936953,True,True,optimal
Easy,48,0.05,0.16161357457723435,0.2817311982555061,0.12011762367827172,0.22817587269323591,True,0.15763358778625947,0.28350504043425295,0.16559356136820924,0.27995735607675915,True,True,optimal
Easy,49,0.05,0.16541072389020145,0.27410165123912567,0.10869092734892422,0.22817587269323591,True,0.1745833333333333,0.28433601229313277,0.1562381144470696,0.2638672901851185,True,True,optimal
Easy,50,0.05,0.17967078439286704,0.2689299766758848,0.08925919228301776,0.22817587269323591,True,0.1789291305864107,0.2846470216035433,0.1804124381993234,0.25321293174822634,True,True,optimal
Easy,51,0.05,0.1775397507695144,0.28842487174380005,0.11088512097428566,0.22817587269323591,True,0.15375407534328067,0.2771412414633086,0.20132542619574811,0.2997085020242915,True,True,optimal
Easy,52,0.05,0.17808464843939054,0.2878679517204108,0.10978330328102026,0.22817587269323591,True,0.15729447268750119,0.2706809583858765,0.1988748241912799,0.30505494505494507,True,True,optimal
Easy,53,0.05,0.20018119074921598,0.303206991877097,0.10302580112788101,0.22817587269323591,True,0.1869847022670943,0.2992327593142257,0.21337767923133766,0.30718122443996826,True,True,optimal
Easy,54,0.05,0.1867680169832041,0.2545003738920798,0.06773235690887569,0.22817587269323591,True,0.17785926628964066,0.2535932661002145,0.19567676767676756,0.2554074816839451,True,True,optimal
Easy,55,0.05,0.17037374326530946,0.29042181009150464,0.12004806682619518,0.22817587269323591,True,0.17240771819085066,0.28843443890702875,0.16833976833976827,0.29240918127598053,True,True,optimal
Easy,56,0.05,0.15902877482321648,0.27386281361030707,0.11483403878709059,0.22817587269323591,True,0.15300128741551322,0.2808826470181053,0.16505626223091974,0.2668429802025088,True,True,optimal
Easy,57,0.05,0.1716814995703415,0.2625454317747634,0.0908639322044219,0.22817587269323591,True,0.1740560684476138,0.26672155565369043,0.16930693069306924,0.25836930789583634,True,True,optimal
Easy,58,0.05,0.16030852631387643,0.30176456364048854,0.1414560373266121,0.22817587269323591,True,0.1618021829733699,0.29361920357007903,0.15881486965438296,0.30990992371089804,True,True,optimal
Easy,59,0.05,0.17515382054821282,0.2740910539167465,0.09893723336853366,0.22817587269323591,True,0.17210498779211714,0.27157770170322476,0.1782026533043085,0.2766044061302682,True,True,optimal
Easy,60,0.05,0.18513807853498204,0.27899510920851767,0.09385703067353562,0.22817587269323591,True,0.17339937626123636,0.28255162192580713,0.19687678080872772,0.27543859649122815,True,True,optimal
Easy,61,0.05,0.16945994740741077,0.2769691388567799,0.1075091914493691,0.22817587269323591,True,0.19124183006535944,0.2839456809926301,0.1476780647494621,0.2699925967209296,True,True,optimal
Easy,62,0.05,0.18210106162605977,0.2938340190001463,0.1117329573740865,0.22817587269323591,True,0.19987775559268162,0.3077941224650264,0.16432436765943792,0.27987391553526614,True,True,optimal
Easy,63,0.05,0.1848382980568224,0.28408069876935155,0.09924240071252916,0.22817587269323591,True,0.17483396584440214,0.290063369125154,0.19484263026924264,0.2780980284135491,True,True,optimal
Easy,64,0.05,0.16480671830628313,0.2624797405931383,0.09767302228685515,0.22817587269323591,True,0.16807435845625374,0.23417980378452552,0.16153907815631252,0.2907796774017511,True,True,optimal
Easy,65,0.05,0.19580988832055826,0.29488292861598675,0.09907304029542849,0.22817587269323591,True,0.21738383259763444,0.306033818247421,0.17423594404348208,0.2837320389845525,True,True,optimal
Easy,66,0.05,0.19949274212090573,0.2662287887640001,0.06673604664309435,0.22817587269323591,True,0.20748739933055294,0.28119658119658125,0.19149808491125853,0.2512609963314189,True,True,optimal
Easy,67,0.05,0.1391058087627926,0.2850780804752877,0.1459722717124951,0.22817587269323591,True,0.1570779914529914,0.28922858158549597,0.12113362607259381,0.28092757936507945,True,True,optimal
