alpha_u,beta_u,seed,ate_lower,ate_upper,ate_width,true_ate,naive_ate,naive_bias,coverage,cate_width_z0,cate_width_z1,feasible,lp_status
0.25,0.25,48,0.05129651189580231,0.3685487686937495,0.31725225679794716,0.22310786079089057,0.22057880861831958,-0.002529052172570989,True,0.3238752797707688,0.31062923382512553,True,optimal
0.25,0.25,49,0.0625509235624922,0.3683272518925249,0.3057763283300327,0.22310786079089057,0.2440100267063604,0.02090216591546984,True,0.30645063576312703,0.3051020208969384,True,optimal
0.25,0.25,47,0.0674786286752117,0.3776348250898236,0.3101561964146119,0.22310786079089057,0.22381992136941098,0.0007120605785204126,True,0.3607710339063358,0.259541358922888,True,optimal
0.25,0.25,43,0.04457678956441352,0.3719588708112469,0.3273820812468334,0.22310786079089057,0.22295054322338304,-0.00015731756750753112,True,0.31890945791379244,0.3358547045798743,True,optimal
0.25,0.25,45,0.058983101618724554,0.3607086340316176,0.30172553241289307,0.22310786079089057,0.2313657265817861,0.008257865790895547,True,0.27554967605055136,0.3279013887752348,True,optimal
0.25,0.25,44,0.04648671567749019,0.3643397395797699,0.3178530239022797,0.22310786079089057,0.24226392067124336,0.019156059880352794,True,0.31161106800572225,0.32409497979883717,True,optimal
0.25,0.25,42,0.08422388430868194,0.3821346673633232,0.29791078305464125,0.22310786079089057,0.22267820490966872,-0.0004296558812218465,True,0.31745669705961255,0.27836486904966995,True,optimal
0.25,0.25,46,0.08786848736629865,0.35635161470590326,0.2684831273396046,0.22310786079089057,0.21049061854073536,-0.012617242250155203,True,0.2735636280746089,0.26340262660460034,True,optimal
0.25,0.25,51,0.06530564100847774,0.39269617136025087,0.3273905303517731,0.22310786079089057,0.25321926183107424,0.030111401040183672,True,0.34164066621635947,0.3131403944871868,True,optimal
0.25,0.25,50,0.07503177633484853,0.36554630917948455,0.290514532844636,0.22310786079089057,0.22039723730157434,-0.0027106234893162218,True,0.2980571279008656,0.28297193778840646,True,optimal
0.25,0.25,53,0.10022030297534712,0.3997348412490713,0.2995145382737242,0.22310786079089057,0.22304260159198586,-6.525919890471021e-05,True,0.3025132936655931,0.2965157828818553,True,optimal
0.25,0.25,52,0.07614392200998116,0.38553442351436307,0.3093905015043819,0.22310786079089057,0.24273688707665853,0.01962902628576796,True,0.30368427521216934,0.3150967277965945,True,optimal
0.25,0.25,54,0.08101594845457455,0.3526182613334601,0.27160231287888553,0.22310786079089057,0.2055978729841631,-0.017509987806727467,True,0.2642042933103652,0.27900033244740585,True,optimal
0.25,0.25,55,0.06091320314444998,0.38109051102865155,0.32017730788420157,0.22310786079089057,0.21259222727564042,-0.010515633515250145,True,0.322835159779155,0.31751945598924813,True,optimal
0.25,0.25,56,0.04083939835022782,0.36774115374646554,0.3269017553962377,0.22310786079089057,0.2303203050160294,0.0072124442251388365,True,0.343722838503409,0.31008067228906644,True,optimal
0.25,0.25,58,0.05412089661743952,0.390357904406549,0.3362370077891095,0.22310786079089057,0.21710129748679463,-0.006006563304095935,True,0.3379586199693998,0.33451539560881915,True,optimal
0.25,0.25,57,0.06082111970020582,0.35049880435576874,0.28967768465556293,0.22310786079089057,0.22538981632722122,0.0022819555363306487,True,0.29360975255476995,0.2857456167563559,True,optimal
0.25,0.25,60,0.0774436155277724,0.3590924843281942,0.2816488688004218,0.22310786079089057,0.2227128620054608,-0.0003949987854297565,True,0.3049097194436482,0.25838801815719536,True,optimal
0.25,0.25,59,0.0752018129633637,0.3668927707759755,0.2916909578126118,0.22310786079089057,0.22836859330982884,0.005260732518938271,True,0.2924933714692243,0.2908885441559993,True,optimal
0.25,0.25,61,0.06979161426330599,0.37411325989316463,0.30432164562985864,0.22310786079089057,0.20908223093445621,-0.014025629856434352,True,0.28849870684791434,0.32014458441180293,True,optimal
0.25,0.25,62,0.07189288216572293,0.3855723113042552,0.31367942913853225,0.22310786079089057,0.23562098774823714,0.012513126957346576,True,0.30937407204354195,0.31798478623352255,True,optimal
0.25,0.25,63,0.08345676800154722,0.3752416207085387,0.2917848527069915,0.22310786079089057,0.2268090061454241,0.0037011453545335304,True,0.3102366839496612,0.2733330214643218,True,optimal
0.25,0.25,65,0.08424586057001121,0.3906089693433174,0.3063631087733062,0.22310786079089057,0.23397280986925972,0.010864949078369157,True,0.3067582267162693,0.3059679908303431,True,optimal
0.25,0.25,67,0.034026666437553754,0.36677025274871766,0.3327435863111639,0.22310786079089057,0.2377245894322455,0.014616728641354937,True,0.32405010408189394,0.3414370685404339,True,optimal
0.25,0.25,68,0.0749696148738136,0.3781231015361317,0.3031534866623181,0.22310786079089057,0.23352216041541962,0.010414299624529055,True,0.3288477746490046,0.2774591986756316,True,optimal
0.25,0.25,64,0.060555092061600924,0.34926295792728723,0.2887078658656863,0.22310786079089057,0.22009051587271133,-0.0030173449181792322,True,0.2659551079633917,0.3114606237679809,True,optimal
0.25,0.25,69,0.06075821466532089,0.37103417334264377,0.3102759586773229,0.22310786079089057,0.22338363390994975,0.0002757731190591861,True,0.31603477127090707,0.3045171460837387,True,optimal
