study,pattern,beta,epsilon_frac,epsilon_scaled,standardized,outcome_std,outcome_mean,outcome_std_original,outcome_mean_original,n_obs,n_treated,n_control,ate_lower,ate_upper,width,width_ratio,coverage,true_ate,true_ate_original,naive_ate,naive_bias,n_valid_sites,n_treated_sites,n_control_sites,theta_1_min,theta_1_max,theta_1_range,theta_0_min,theta_0_max,theta_0_range,point_estimate
anchoring1,age,0.25,0.05,0.049670832498055276,True,0.9934166499611055,-5.592727680270653e-17,1536.9427741314564,2670.241941529235,2668,1367,1301,1.7521057468390007,0.4996241779870991,-1.2524815688519015,-1.2607817363449052,False,1.0121820046211665,1555.6658181083942,0.9868684748847167,-0.025313529736449736,34,34,34,0.1991567067399247,0.9350943252181091,0.7359376184781844,-0.9163530866170022,-0.20112580625106394,0.7152272803659383,1.0460687420606893
anchoring1,age,0.25,0.1,0.09934166499611055,True,0.9934166499611055,-5.592727680270653e-17,1536.9427741314564,2670.241941529235,2668,1367,1301,1.6527640818428901,0.5989658429832097,-1.0537982388596805,-1.0607817363449052,False,1.0121820046211665,1555.6658181083942,0.9868684748847167,-0.025313529736449736,34,34,34,0.1991567067399247,0.9350943252181091,0.7359376184781844,-0.9163530866170022,-0.20112580625106394,0.7152272803659383,1.0460687420606893
anchoring1,age,0.25,0.15,0.1490124974941658,True,0.9934166499611055,-5.592727680270653e-17,1536.9427741314564,2670.241941529235,2668,1367,1301,1.5534224168467796,0.6983075079793202,-0.8551149088674594,-0.8607817363449054,False,1.0121820046211665,1555.6658181083942,0.9868684748847167,-0.025313529736449736,34,34,34,0.1991567067399247,0.9350943252181091,0.7359376184781844,-0.9163530866170022,-0.20112580625106394,0.7152272803659383,1.0460687420606893
anchoring1,age,0.25,0.2,0.1986833299922211,True,0.9934166499611055,-5.592727680270653e-17,1536.9427741314564,2670.241941529235,2668,1367,1301,1.454080751850669,0.7976491729754308,-0.6564315788752383,-0.6607817363449053,False,1.0121820046211665,1555.6658181083942,0.9868684748847167,-0.025313529736449736,34,34,34,0.1991567067399247,0.9350943252181091,0.7359376184781844,-0.9163530866170022,-0.20112580625106394,0.7152272803659383,1.0460687420606893
anchoring1,age,0.25,0.3,0.2980249949883316,True,0.9934166499611055,-5.592727680270653e-17,1536.9427741314564,2670.241941529235,2668,1367,1301,1.255397421858448,0.9963325029676519,-0.2590649188907962,-0.2607817363449054,False,1.0121820046211665,1555.6658181083942,0.9868684748847167,-0.025313529736449736,34,34,34,0.1991567067399247,0.9350943252181091,0.7359376184781844,-0.9163530866170022,-0.20112580625106394,0.7152272803659383,1.0460687420606893
anchoring1,age,0.25,0.4,0.3973666599844422,True,0.9934166499611055,-5.592727680270653e-17,1536.9427741314564,2670.241941529235,2668,1367,1301,1.0567140918662268,1.195015832959873,0.13830174109364624,0.13921826365509485,False,1.0121820046211665,1555.6658181083942,0.9868684748847167,-0.025313529736449736,34,34,34,0.1991567067399247,0.9350943252181091,0.7359376184781844,-0.9163530866170022,-0.20112580625106394,0.7152272803659383,1.0460687420606893
anchoring1,age,0.25,0.5,0.49670832498055273,True,0.9934166499611055,-5.592727680270653e-17,1536.9427741314564,2670.241941529235,2668,1367,1301,0.8580307618740057,1.393699162952094,0.5356684010780883,0.5392182636550947,True,1.0121820046211665,1555.6658181083942,0.9868684748847167,-0.025313529736449736,34,34,34,0.1991567067399247,0.9350943252181091,0.7359376184781844,-0.9163530866170022,-0.20112580625106394,0.7152272803659383,1.0460687420606893
anchoring1,age,0.5,0.05,0.04966631336620796,True,0.9933262673241592,1.6197782730093468e-17,1535.6369460134586,2652.4699848024316,2632,1340,1292,1.8191544613067216,0.39427940632265157,-1.42487505498407,-1.4344481786658325,False,1.013042713088488,1555.6658181083942,0.9636376476206366,-0.049405065467851395,34,34,34,0.17289983631151742,1.112069767998196,0.9391699316866785,-0.8064173200409417,-0.12204694327871819,0.6843703767622235,1.0461183251452377
anchoring1,age,0.5,0.1,0.09933262673241593,True,0.9933262673241592,1.6197782730093468e-17,1535.6369460134586,2652.4699848024316,2632,1340,1292,1.7198218345743057,0.4936120330550675,-1.2262098015192382,-1.2344481786658326,False,1.013042713088488,1555.6658181083942,0.9636376476206366,-0.049405065467851395,34,34,34,0.17289983631151742,1.112069767998196,0.9391699316866785,-0.8064173200409417,-0.12204694327871819,0.6843703767622235,1.0461183251452377
anchoring1,age,0.5,0.15,0.14899894009862388,True,0.9933262673241592,1.6197782730093468e-17,1535.6369460134586,2652.4699848024316,2632,1340,1292,1.6204892078418898,0.5929446597874835,-1.0275445480544063,-1.0344481786658326,False,1.013042713088488,1555.6658181083942,0.9636376476206366,-0.049405065467851395,34,34,34,0.17289983631151742,1.112069767998196,0.9391699316866785,-0.8064173200409417,-0.12204694327871819,0.6843703767622235,1.0461183251452377
anchoring1,age,0.5,0.2,0.19866525346483185,True,0.9933262673241592,1.6197782730093468e-17,1535.6369460134586,2652.4699848024316,2632,1340,1292,1.5211565811094738,0.6922772865198994,-0.8288792945895744,-0.8344481786658324,False,1.013042713088488,1555.6658181083942,0.9636376476206366,-0.049405065467851395,34,34,34,0.17289983631151742,1.112069767998196,0.9391699316866785,-0.8064173200409417,-0.12204694327871819,0.6843703767622235,1.0461183251452377
