method,study,n_datasets,mean_ate,mean_bias,median_bias,mean_abs_bias,rmse,bias_std,coverage,mean_se,mean_ci_width
aipw,allowedforbidden,35.0,-0.16607440154814823,-0.0009662952424354435,-0.0005872477598161119,0.010470001873078361,0.012712719185169367,0.012861001916978337,0.02857142857142857,0.01597939536918382,0.06263922984720056
aipw,anchoring1,35.0,1536.7325304982467,-18.933287610147506,-24.186984416433006,37.32772966177897,48.44548162625661,45.2435682330191,0.02857142857142857,67.12888727976126,263.1452381366642
aipw,anchoring2,35.0,2016.883949846882,-12.064316664303227,-0.7258209061324123,33.883677656473594,42.1826644223877,41.01076990607668,0.02857142857142857,53.70183732557385,210.51120231624952
aipw,anchoring3,35.0,2378.760019815636,-39.61322984708505,-24.975566040008744,40.876540071084726,56.07047486203321,40.261701270181284,0.02857142857142857,52.02503313307801,203.93812988166576
aipw,anchoring4,35.0,2488.356518520126,-6.572548212894825,-13.09553373549852,35.38115451464998,40.100200169254535,40.13542084805658,0.02857142857142857,49.4358552689965,193.7885526544662
aipw,contact,35.0,0.18408915902363124,-0.06199312623789367,-0.04318436823290825,0.0710119996046449,0.09547594684724472,0.07367212845899344,0.02857142857142857,0.07896126300181339,0.3095281509671084
aipw,flag,35.0,0.009014407786209771,-0.019450313286082727,-0.024514708281381508,0.03617091914594716,0.04159883029682676,0.037308404600276575,0.02857142857142857,0.03776808641228932,0.14805089873617416
aipw,gainloss,35.0,0.30445052954841084,0.017685424223604324,0.014714307367506785,0.018336789359480434,0.02373320769140018,0.01605796678525868,0.02857142857142857,0.021150218910497978,0.08290885812915207
aipw,gambfal,35.0,1.6859280671534926,-0.00994565191133549,0.01068594470358697,0.07774303715041413,0.11460413560337163,0.11583859418464035,0.02857142857142857,0.12481684270739495,0.4892820234129884
aipw,iat,35.0,0.2652902698833578,0.005504953544967245,0.0031384758857838646,0.009050494495215784,0.012256380797791292,0.011110411764339221,0.02857142857142857,0.008253721679523065,0.03235458898373042
aipw,money,35.0,-0.03235386133818187,-0.012745678639554269,-0.009821470258704931,0.02146335176906868,0.028629151419273163,0.02600970381425025,0.02857142857142857,0.04269923103357449,0.16738098565161197
aipw,quote,35.0,0.649036069309916,-0.046236487624562235,-0.04535296921265175,0.06169066223432565,0.08025230828566188,0.06655199358533888,0.02857142857142857,0.09446063515745337,0.3702856898172172
aipw,reciprocity,35.0,0.1368858069174883,0.002914155335055926,0.00437145906093539,0.009056613349112822,0.011234569018205832,0.011008437124982876,0.02857142857142857,0.019559628852519995,0.07667374510187835
aipw,scales,35.0,0.19823998944240553,0.023562639561376646,0.017473837761279476,0.023581237871776083,0.02958840120482002,0.018157515537270526,0.02857142857142857,0.017089109639767393,0.0669893097878882
aipw,sunk,35.0,0.638825071675934,0.03256570523608514,0.028952568559720837,0.07542791031092333,0.09684173101137643,0.09253343589202948,0.02857142857142857,0.10520825847692558,0.41241637322954827
ipw,allowedforbidden,35.0,-0.16564319860309681,-0.0005350922973839886,-0.0006045246095857382,0.01050580729468227,0.012593336888024727,0.012765651704867754,0.02857142857142857,0.01615960874593115,0.06334566628405011
ipw,anchoring1,35.0,1538.31100533509,-17.354812773304182,-26.148463278181453,37.99898327952639,49.78063395607725,47.33866398669518,0.02857142857142857,67.12916680029409,263.1463338571529
ipw,anchoring2,35.0,2028.2730637622142,-0.6752027489705467,13.22356162828305,30.85005700409467,39.03863503968133,39.602647507058315,0.02857142857142857,55.763555806762625,218.59313876250945
ipw,anchoring3,35.0,2382.698360614667,-35.674889048053906,-24.716154678535077,36.91035208642679,49.2889922206126,34.506924536815724,0.02857142857142857,51.74341805030615,202.83419875720008
ipw,anchoring4,35.0,2488.193112560727,-6.735954172293896,-2.213500546755313,35.58846635289831,40.88948444444404,40.91964510341527,0.02857142857142857,49.22807813483046,192.9740662885354
ipw,contact,35.0,0.18667751611513062,-0.05940476914639429,-0.04430504558638751,0.07099502447438492,0.0932336722146157,0.07290721063044496,0.02857142857142857,0.08335999230240218,0.32677116982541654
ipw,flag,35.0,0.004289886867245116,-0.024174834205047385,-0.025922823404551567,0.040355889457193726,0.04781544592135135,0.041856301477079284,0.02857142857142857,0.04839928952496671,0.18972521493786948
ipw,gainloss,35.0,0.3056707329673667,0.018905627642560128,0.017047528539401835,0.01955387162223109,0.024863072639849212,0.01638348958980546,0.02857142857142857,0.020822459457644955,0.08162404107396823
ipw,gambfal,35.0,1.686753300905035,-0.009120418159793246,0.012473897524942545,0.07971060186909738,0.11722052778227349,0.11857133044452539,0.02857142857142857,0.1232447595452019,0.48311945741719153
ipw,iat,35.0,0.28312661678459966,0.023341300446209103,0.022150818982020537,0.028468398872875937,0.0345692881451244,0.025871673228544143,0.02857142857142857,0.017316022127043695,0.06787880673801129
ipw,money,35.0,-0.03539786079552444,-0.01578967809689684,-0.011872529458923285,0.021961559309911356,0.030206576880823142,0.026127131118184262,0.02857142857142857,0.042663330212840446,0.16724025443433452
ipw,quote,35.0,0.6569504430133266,-0.03832211392115154,-0.03874512530523333,0.05738629825030192,0.07222129156431797,0.06210914702316584,0.02857142857142857,0.0916153851641512,0.3591323098434727
ipw,reciprocity,35.0,0.14046632458381358,0.006494673001381179,0.007438455116525966,0.00957593282974605,0.013021587231710091,0.011451089701981101,0.02857142857142857,0.020131926577647452,0.07891715218437802
ipw,scales,35.0,0.19909987426697529,0.02442252438594638,0.017753854075169995,0.024443481863987516,0.030756922884519446,0.018968628340417737,0.02857142857142857,0.016651384672385302,0.06527342791575037
