method,ate,se,ci_lower,ci_upper,n_treated,n_control,ground_truth_ate,bias,abs_bias,relative_bias,covers_truth,study,pattern,beta,seed,dataset_path,ground_truth_se,n_obs,propensity_mean,propensity_std,propensity_min,propensity_max,n_used,r_squared,n_matched,match_rate,caliper_used,error
naive,-0.14889964414637624,0.012685472828369806,-0.17376317088998106,-0.12403611740277143,1534.0,1626.0,-0.1651081063057128,0.01620846215933655,0.01620846215933655,-0.09816878481620459,True,allowedforbidden,demo_full,0.5,42,confounded_datasets/allowedforbidden/demo_full_beta0.5_seed42.csv,0.0088964973880483,3160,,,,,,,,,,
ipw,-0.16101178244111192,0.012691996917196543,-0.18588809639881715,-0.13613546848340669,,,-0.1651081063057128,0.004096323864600876,0.004096323864600876,-0.024809950015513817,True,allowedforbidden,demo_full,0.5,42,confounded_datasets/allowedforbidden/demo_full_beta0.5_seed42.csv,0.0088964973880483,3160,0.4854230709122657,0.15479042428061093,0.15344756068541088,0.9609942401051288,3160.0,,,,,
outcome_regression,-0.1642401335298232,0.012488151505033105,-0.18871691047968808,-0.1397633565799583,,,-0.1651081063057128,0.0008679727758895972,0.0008679727758895972,-0.0052569967357173,True,allowedforbidden,demo_full,0.5,42,confounded_datasets/allowedforbidden/demo_full_beta0.5_seed42.csv,0.0088964973880483,3160,,,,,3160.0,0.052157012105391254,,,,
aipw,-0.16134990578815317,0.01338242559270111,-0.18757945994984734,-0.135120351626459,,,-0.1651081063057128,0.0037582005175596234,0.0037582005175596234,-0.022762059366128098,True,allowedforbidden,demo_full,0.5,42,confounded_datasets/allowedforbidden/demo_full_beta0.5_seed42.csv,0.0088964973880483,3160,0.4854230709122657,0.15479042428061093,,,3160.0,,,,,
psm,-0.18276762402088775,0.01200567369504935,-0.20629874446318447,-0.15923650357859104,1534.0,1626.0,-0.1651081063057128,-0.01765951771517496,0.01765951771517496,0.10695730276547867,True,allowedforbidden,demo_full,0.5,42,confounded_datasets/allowedforbidden/demo_full_beta0.5_seed42.csv,0.0088964973880483,3160,,,,,,,1532.0,0.9986962190352021,0.030958084856122187,
naive,-0.14208583061477387,0.012710786873120085,-0.16699897288608923,-0.11717268834345851,1519.0,1614.0,-0.1651081063057128,0.023022275690938926,0.023022275690938926,-0.13943758550722563,True,allowedforbidden,demo_full,0.75,42,confounded_datasets/allowedforbidden/demo_full_beta0.75_seed42.csv,0.0088964973880483,3133,,,,,,,,,,
ipw,-0.15756247075589513,0.0137958699199989,-0.18460237579909297,-0.1305225657126973,,,-0.1651081063057128,0.007545635549817659,0.007545635549817659,-0.045701181599443835,True,allowedforbidden,demo_full,0.75,42,confounded_datasets/allowedforbidden/demo_full_beta0.75_seed42.csv,0.0088964973880483,3133,0.4848460193638592,0.2081542112058461,0.07821378281593945,0.99,3133.0,,,,,
outcome_regression,-0.16316104720773636,0.013607098436959416,-0.18983096014417683,-0.1364911342712959,,,-0.1651081063057128,0.0019470590979764335,0.0019470590979764335,-0.01179263175831764,True,allowedforbidden,demo_full,0.75,42,confounded_datasets/allowedforbidden/demo_full_beta0.75_seed42.csv,0.0088964973880483,3133,,,,,3133.0,0.04848072224823574,,,,
aipw,-0.1582491988495399,0.014377037933750761,-0.1864281931996914,-0.1300702044993884,,,-0.1651081063057128,0.006858907456172902,0.006858907456172902,-0.04154191825974314,True,allowedforbidden,demo_full,0.75,42,confounded_datasets/allowedforbidden/demo_full_beta0.75_seed42.csv,0.0088964973880483,3133,0.4848460193638592,0.2081542112058461,,,3133.0,,,,,
psm,-0.15796430931923333,0.012502980907999547,-0.18247015189891244,-0.13345846673955422,1519.0,1614.0,-0.1651081063057128,0.0071437969864794615,0.0071437969864794615,-0.043267390961725806,True,allowedforbidden,demo_full,0.75,42,confounded_datasets/allowedforbidden/demo_full_beta0.75_seed42.csv,0.0088964973880483,3133,,,,,,,1513.0,0.9960500329163924,0.041631338117574135,
naive,-0.14016049968374444,0.012681738303213121,-0.16501670675804217,-0.11530429260944673,1488.0,1632.0,-0.1651081063057128,0.02494760662196835,0.02494760662196835,-0.15109861762798957,False,allowedforbidden,demo_full,1.0,42,confounded_datasets/allowedforbidden/demo_full_beta1.0_seed42.csv,0.0088964973880483,3120,,,,,,,,,,
ipw,-0.1583245342606534,0.01826847099782235,-0.1941307374163852,-0.12251833110492161,,,-0.1651081063057128,0.006783572045059388,0.006783572045059388,-0.04108563896008221,True,allowedforbidden,demo_full,1.0,42,confounded_datasets/allowedforbidden/demo_full_beta1.0_seed42.csv,0.0088964973880483,3120,0.47683962558091875,0.2551890236833056,0.03204724484155734,0.99,3120.0,,,,,
